,200 ms,200 ms.1,location,frequency,noise level,neural threshold,Neural Threshold from fit line,Neural Threshold Standard Deviation,Neural Slope,Behavioral Thresh,Behavioral Threshold from fit line
34,tank110411a,~OurData-7,IC,2650,34.0,18.4,18.1,1.32,0.0392,35.1,32.4
35,tank110411a,~OurData-8,IC,2650,44.0,28.5,28.0,1.53,0.0424,40.2,40.7
37,tank110412a,~OurData-11,IC,1500,34.0,14.5,14.2,2.65,0.0227,28.2,25.8
38,tank110412a,~OurData-12,IC,1500,44.0,28.4,28.6,1.15,0.0391,38.1,41.0
39,tank110413a,~OurData-8,IC,1600,34.0,11.6,12.7,1.53,0.039,25.7,25.8
42,tank110413a,~OurData-10,IC,1600,44.0,19.3,19.5,1.24,0.0403,37.9,36.5
45,tank110520a,~OurData-7,IC,9500,44.0,33.3,74.0,18.0,0.027,39.5,41.5
47,tank110601a,~OurData-7,IC,13000,44.0,32.5,32.1,3.89,0.0243,35.7,23.1
48,tank110601a,~OurData-8,IC,13000,34.0,16.2,14.2,2.62,0.018,27.1,25.5
50,tank110606a,~OurData-6,IC,15300,34.0,44.5,29.2,15.6,0.0163,32.4,32.1
51,tank110606a,~OurData-7,IC,15300,44.0,52.1,45.7,12.4,0.00206,39.8,40.1
54,tank100305b,~OurData-6,IC,3000,44.0,27.1,27.1,2.61,0.0631,39.6,37.2
55,tank100305b,~OurData-7,IC,3000,54.0,39.0,51.1,2.64,0.0631,48.8,47.1
56,tank100308b,~OurData-8,IC,310,54.0,32.0,31.9,4.08,0.0365,50.9,74.3
57,tank100308b,~OurData-7,IC,310,44.0,21.8,21.9,2.13,0.0355,44.2,42.2
59,tank100309b,~OurData-6,IC,860,44.0,20.1,19.1,2.95,0.037,36.4,47.4
60,tank100310b,~OurData-11,IC,620,44.0,13.5,13.8,2.98,0.0182,41.6,42.5
61,tank100310b,~OurData-10,IC,620,44.0,12.6,12.8,2.85,0.0231,39.7,39.3
62,tank100310b,~OurData-8,IC,620,54.0,31.6,32.1,6.02,0.057,46.9,46.9
63,tank100310b,~OurData-6,IC,620,44.0,23.1,23.9,1.54,0.0657,43.3,42.5
68,tank100325b,~OurData-6,IC,14000,44.0,30.5,24.6,10.2,0.0477,45.6,45.3
71,tank100330b,~OurData-6,IC,16500,44.0,31.4,30.3,2.95,0.0597,39.3,37.3
72,tank100330b,~OurData-5,IC,16500,44.0,35.1,34.2,5.41,0.0435,42.7,50.4
76,tank100707b,~OurData-6,IC,240,44.0,46.5,66.3,3.86,0.0295,65.4,52.9
77,tank100707b,~OurData-8,IC,40000,54.0,,74.0,,,68.3,82.0
78,tank100708b,~OurData-7,IC,580,54.0,41.0,42.2,6.47,0.00999,46.1,45.4
81,tank100712b,~OurData-7,IC,340,44.0,33.5,35.9,5.54,0.031,40.8,68.7
83,tank100713b,~OurData-11,IC,1260,44.0,25.7,25.3,1.22,0.0707,36.5,36.5
85,tank100720b,~OurData-13,IC,36000,54.0,,74.0,,,50.2,47.2
86,tank100720b,~OurData-11,IC,1950,44.0,25.9,22.6,6.42,0.0214,36.2,45.6
89,tank100721b,~OurData-5,IC,1350,44.0,47.0,43.6,7.17,0.0213,24.0,23.3
91,tank100721b,~OurData-10,IC,1800,44.0,31.6,31.3,4.45,0.0488,39.5,39.5
93,tank100721b,~OurData-4,IC,1350,44.0,40.9,41.0,6.33,0.0121,38.2,48.9
96,tank100804b,~OurData-3,IC,280,44.0,,19.0,1.77,,36.2,40.2
98,tank100804b,~OurData-7,IC,1430,44.0,20.0,21.0,3.68,0.0235,34.4,33.1
99,tank100805b,~OurData-3,IC,2500,44.0,21.3,21.3,2.29,0.0414,41.9,82.0
100,tank100805b,~OurData-4,IC,2500,44.0,-6.39,12.4,13.6,0.0578,30.4,27.4
102,tank100812b,~OurData-3,IC,870,44.0,23.2,56.1,2.22,0.0527,34.7,28.9
105,tank100813b,~OurData-4,IC,3800,44.0,32.0,15.9,9.51,0.0149,39.3,41.3
107,tank100818b,~OurData-8,IC,1600,44.0,21.5,21.2,3.98,0.039,34.9,32.7
109,tank100915b,~OurData-4,IC,150,44.0,23.2,25.4,4.48,0.0235,53.4,52.6
111,tank100916b,~OurData-3,IC,1550,44.0,22.2,23.6,0.76,0.0931,33.5,33.2
114,tank101015b,~OurData-9,IC,1800,44.0,21.2,23.0,2.76,0.0812,35.0,35.3
115,tank101015b,~OurData-11,IC,1800,34.0,8.71,13.0,1.68,0.0398,20.4,20.3
121,tank101022b,~OurData-9,IC,25000,34.0,39.5,35.2,9.31,0.0148,46.9,49.1
124,tank101027b,~OurData-15,IC,17000,34.0,38.7,37.7,6.27,0.0431,27.8,27.3
125,tank101027b,~OurData-16,IC,17000,44.0,50.5,74.0,0.519,0.0687,39.8,39.3
127,tank101101b,~OurData-8,IC,7500,34.0,63.0,63.6,3.87,0.0318,30.2,29.8
128,tank101101b,~OurData-9,IC,7500,44.0,62.4,63.8,9.46,0.0417,40.2,40.7
130,tank100809a,~OurData-4,IC,700,44.0,23.2,23.6,3.7,0.0396,49.8,51.5
132,tank100917a,~OurData-4,IC,320,44.0,22.5,23.1,2.46,0.0416,36.7,36.9
134,tank101021a,~OurData-6,IC,700,34.0,18.6,18.8,3.26,0.0178,24.6,24.9
135,tank101021a,~OurData-7,IC,700,44.0,23.7,23.7,2.4,0.0315,30.2,31.7
137,tank101022a,~OurData-7,IC,800,34.0,13.1,13.0,2.6,0.0311,24.4,24.9
138,tank101022a,~OurData-8,IC,800,44.0,25.3,24.9,2.9,0.0502,33.3,32.9
140,tank101025a,~OurData-8,IC,450,34.0,32.2,31.9,3.63,0.0452,42.3,53.0
141,tank101025a,~OurData-9,IC,450,44.0,39.7,51.7,5.69,0.0129,52.8,50.1
143,tank101026a,~OurData-5,IC,1000,44.0,20.1,19.0,3.45,0.016,30.9,31.9
144,tank101026a,~OurData-6,IC,1000,34.0,12.7,13.9,3.33,0.0289,20.7,21.7
146,tank101027a,~OurData-6,IC,400,34.0,34.1,33.5,3.33,0.0333,34.5,32.9
147,tank101027a,~OurData-7,IC,400,44.0,29.0,29.7,5.02,0.0276,47.3,82.0
149,tank101028a,~OurData-8,IC,220,34.0,18.7,19.0,5.92,0.0133,49.6,54.6
150,tank101028a,~OurData-9,IC,220,44.0,27.0,27.4,1.99,0.0438,40.4,48.7
152,tank101029a,~OurData-6,IC,600,34.0,19.1,18.6,3.15,0.0304,35.2,35.8
153,tank101029a,~OurData-7,IC,600,44.0,31.9,31.4,1.46,0.0565,34.0,35.8
155,tank101102a,~OurData-5,IC,290,34.0,30.5,30.4,5.48,0.0175,33.9,32.4
157,tank101103a,~OurData-10,IC,700,34.0,22.5,22.8,1.15,0.0625,24.8,21.2
158,tank101103a,~OurData-11,IC,700,44.0,24.9,24.9,2.71,0.0336,31.7,31.9
160,tank101105a,~OurData-8,IC,800,34.0,22.9,23.6,1.74,0.0588,30.3,17.7
161,tank101105a,~OurData-9,IC,800,44.0,23.6,23.9,3.49,0.031,34.2,32.6
163,tank101117a,~OurData-13,IC,25000,34.0,25.4,25.3,2.73,0.0311,36.1,35.9
164,tank101117a,~OurData-14,IC,25000,44.0,68.5,74.0,3.56,0.0377,46.8,53.9
167,tank110121a,~OurData-13,IC,23000,44.0,65.4,65.0,3.25,0.0143,42.1,41.8
169,tank110125a,~OurData-6,IC,13000,44.0,,74.0,0.0,,38.1,38.3
170,tank110125a,~OurData-10,IC,13000,34.0,65.3,74.0,6.48,0.0138,29.3,66.6
172,tank110126a,~OurData-7,IC,550,44.0,30.5,31.2,2.92,0.023,39.6,36.9
174,tank110127a,~OurData-5,IC,650,44.0,30.8,30.7,1.97,0.0313,37.8,35.7
176,tank110128a,~OurData-5,IC,550,44.0,23.0,23.2,2.97,0.0187,36.5,35.4
